surveyid,fieldactivityid,source,sampletype,station,sampledate,layer,samplenumber,gmethod,tsn,latinname,size,method,parameter,reportingvalue,reportingunit,nodccode,speccode,serialnumber
443154,0,odu/pel,c,cb7.3e,2013-07-15t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,59017700,l,auto_pico,1148,20131231cb7.3e
443154,0,odu/pel,c,cb7.3e,2013-07-15t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,71021300,l,auto_pico,1148,20131231cb7.3e
443150,0,odu/pel,c,cb7.4,2013-07-15t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,100030000,l,auto_pico,1148,20131231cb7.4
443150,0,odu/pel,c,cb7.4,2013-07-15t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,77023100,l,auto_pico,1148,20131231cb7.4
443158,0,odu/pel,c,le3.6,2013-07-15t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,101030300,l,auto_pico,1148,20131231le3.6
443158,0,odu/pel,c,le3.6,2013-07-15t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,122036600,l,auto_pico,1148,20131231le3.6
443152,0,odu/pel,c,ret5.2,2013-07-15t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,121036300,l,auto_pico,1148,20131231ret5.2
443164,0,odu/pel,c,cb6.4,2013-07-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,165049500,l,auto_pico,1148,20131231cb6.4
443164,0,odu/pel,c,cb6.4,2013-07-16t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,146043800,l,auto_pico,1148,20131231cb6.4
443160,0,odu/pel,c,ret4.3,2013-07-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,148044400,l,auto_pico,1148,20131231ret4.3
443162,0,odu/pel,c,tf4.2,2013-07-16t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,30009000,l,auto_pico,1148,20131231tf4.2
443168,0,odu/pel,c,le5.5-w,2013-07-18t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,60018000,l,auto_pico,1148,20131231le5.5-w
443168,0,odu/pel,c,le5.5-w,2013-07-18t00:00:00,bp,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,56016800,l,auto_pico,1148,20131231le5.5-w
443170,0,odu/pel,c,tf5.5,2013-07-18t00:00:00,ap,fs1,07,0,epifluorescent_picoplankton,not_applicable,pp101,count,127038100,l,auto_pico,1148,20131231tf5.5
